,pair,lift_score
262,"('iphonex', 'face')",11.625649913344887
1,"('p20', 'camera')",7.8893221912720515
37,"('mate20', 'gpu')",6.9440993788819885
35,"('mate20', 'durability')",5.564496059726254
34,"('mate20', 'speaker')",5.564496059726254
16,"('p20', 'bad')",4.956039896564462
36,"('mate20', 'cpu')",4.635798203178991
258,"('iphonex', 'processor')",3.173131504257332
39,"('mate20', 'bad')",2.741057396114918
23,"('mate20', 'battery')",2.6656688996005493
231,"('a9', 'camera')",2.5531590966759707
181,"('note9', 'charging')",2.263157894736842
0,"('p20', 'battery')",2.238306133592186
24,"('mate20', 'camera')",2.2252856616291927
154,"('s9', 'bad')",2.150689323501122
22,"('p20', 'display')",2.0195694716242665
31,"('mate20', 'fingerprint')",1.9326956321309205
43,"('mate20', 'charging')",1.6925147182506306
38,"('mate20', 'best')",1.5835009592078972
160,"('s9', 'display')",1.5335075114304375
169,"('note9', 'fingerprint')",1.46901233666691
166,"('note9', 'processor')",1.4022576599175776
176,"('note9', 'best')",1.3137291651311425
27,"('mate20', 'video')",1.1997281474680752
42,"('mate20', 'charge')",1.1596173792785525
45,"('mate20', 'display')",1.1167686909305126
148,"('s9', 'quality')",1.0435594275046671
165,"('note9', 'video')",0.9878488086697126
15,"('p20', 'best')",0.9832124919384785
153,"('s9', 'best')",0.9100451936203227
182,"('note9', 'screen')",0.9073856975381008
44,"('mate20', 'screen')",0.8868504017085324
172,"('note9', 'speaker')",0.8812401471361009
275,"('iphonex', 'display')",0.8624325019285163
230,"('a9', 'battery')",0.8341208654563542
139,"('s9', 'camera')",0.8107106408121609
143,"('s9', 'processor')",0.8064438566963212
257,"('iphonex', 'video')",0.8030647671495271
167,"('note9', 'ram')",0.7777090740454475
30,"('mate20', 'storage')",0.7729891680110624
180,"('note9', 'charge')",0.734506168333455
161,"('note9', 'battery')",0.7235914802369215
254,"('iphonex', 'camera')",0.7093158506926086
183,"('note9', 'display')",0.7073423964180267
253,"('iphonex', 'battery')",0.6952015752927765
142,"('s9', 'video')",0.6119135220603886
268,"('iphonex', 'best')",0.5598771408540046
245,"('a9', 'best')",0.5374569345405016
171,"('note9', 'quality')",0.5184727160302983
168,"('note9', 'storage')",0.48963503649635043
158,"('s9', 'charging')",0.47955390334572495
138,"('s9', 'battery')",0.4414319557778363
162,"('note9', 'camera')",0.4250723728971838
21,"('p20', 'screen')",0.4009563658099223
170,"('note9', 'face')",0.3672396802803022
159,"('s9', 'screen')",0.34794335805799054
28,"('mate20', 'processor')",0.31626591230551626
4,"('p20', 'video')",0.23505501436680917
177,"('note9', 'bad')",0.1335510074062276
320,"('y7', 'screen')",0.0
321,"('y7', 'display')",0.0
330,"('nova', 'fingerprint')",0.0
315,"('y7', 'bad')",0.0
329,"('nova', 'storage')",0.0
328,"('nova', 'ram')",0.0
327,"('nova', 'processor')",0.0
326,"('nova', 'video')",0.0
316,"('y7', 'fast-charge')",0.0
317,"('y7', 'fast-charging')",0.0
325,"('nova', 'resolution')",0.0
318,"('y7', 'charge')",0.0
319,"('y7', 'charging')",0.0
324,"('nova', 'weight')",0.0
323,"('nova', 'camera')",0.0
322,"('nova', 'battery')",0.0
331,"('nova', 'face')",0.0
339,"('nova', 'fast-charge')",0.0
332,"('nova', 'quality')",0.0
342,"('nova', 'charging')",0.0
349,"('exynos', 'video')",0.0
348,"('exynos', 'resolution')",0.0
347,"('exynos', 'weight')",0.0
346,"('exynos', 'camera')",0.0
345,"('exynos', 'battery')",0.0
344,"('nova', 'display')",0.0
343,"('nova', 'screen')",0.0
341,"('nova', 'charge')",0.0
333,"('nova', 'speaker')",0.0
340,"('nova', 'fast-charging')",0.0
313,"('y7', 'gpu')",0.0
338,"('nova', 'bad')",0.0
337,"('nova', 'best')",0.0
336,"('nova', 'gpu')",0.0
335,"('nova', 'cpu')",0.0
334,"('nova', 'durability')",0.0
314,"('y7', 'best')",0.0
308,"('y7', 'face')",0.0
312,"('y7', 'cpu')",0.0
285,"('a8', 'face')",0.0
283,"('a8', 'storage')",0.0
282,"('a8', 'ram')",0.0
281,"('a8', 'processor')",0.0
280,"('a8', 'video')",0.0
279,"('a8', 'resolution')",0.0
278,"('a8', 'weight')",0.0
277,"('a8', 'camera')",0.0
276,"('a8', 'battery')",0.0
2,"('p20', 'weight')",0.0
274,"('iphonex', 'screen')",0.0
273,"('iphonex', 'charging')",0.0
272,"('iphonex', 'charge')",0.0
271,"('iphonex', 'fast-charging')",0.0
270,"('iphonex', 'fast-charge')",0.0
269,"('iphonex', 'bad')",0.0
267,"('iphonex', 'gpu')",0.0
266,"('iphonex', 'cpu')",0.0
265,"('iphonex', 'durability')",0.0
264,"('iphonex', 'speaker')",0.0
263,"('iphonex', 'quality')",0.0
3,"('p20', 'resolution')",0.0
261,"('iphonex', 'fingerprint')",0.0
260,"('iphonex', 'storage')",0.0
284,"('a8', 'fingerprint')",0.0
286,"('a8', 'quality')",0.0
311,"('y7', 'durability')",0.0
287,"('a8', 'speaker')",0.0
310,"('y7', 'speaker')",0.0
309,"('y7', 'quality')",0.0
351,"('exynos', 'ram')",0.0
307,"('y7', 'fingerprint')",0.0
306,"('y7', 'storage')",0.0
305,"('y7', 'ram')",0.0
304,"('y7', 'processor')",0.0
303,"('y7', 'video')",0.0
302,"('y7', 'resolution')",0.0
301,"('y7', 'weight')",0.0
300,"('y7', 'camera')",0.0
299,"('y7', 'battery')",0.0
298,"('a8', 'display')",0.0
297,"('a8', 'screen')",0.0
296,"('a8', 'charging')",0.0
295,"('a8', 'charge')",0.0
294,"('a8', 'fast-charging')",0.0
293,"('a8', 'fast-charge')",0.0
292,"('a8', 'bad')",0.0
291,"('a8', 'best')",0.0
290,"('a8', 'gpu')",0.0
289,"('a8', 'cpu')",0.0
288,"('a8', 'durability')",0.0
350,"('exynos', 'processor')",0.0
33,"('mate20', 'quality')",0.0
352,"('exynos', 'storage')",0.0
420,"('p8', 'ram')",0.0
431,"('p8', 'fast-charge')",0.0
430,"('p8', 'bad')",0.0
429,"('p8', 'best')",0.0
428,"('p8', 'gpu')",0.0
427,"('p8', 'cpu')",0.0
426,"('p8', 'durability')",0.0
425,"('p8', 'speaker')",0.0
424,"('p8', 'quality')",0.0
423,"('p8', 'face')",0.0
422,"('p8', 'fingerprint')",0.0
421,"('p8', 'storage')",0.0
419,"('p8', 'processor')",0.0
353,"('exynos', 'fingerprint')",0.0
418,"('p8', 'video')",0.0
417,"('p8', 'resolution')",0.0
416,"('p8', 'weight')",0.0
415,"('p8', 'camera')",0.0
414,"('p8', 'battery')",0.0
413,"('m20', 'display')",0.0
412,"('m20', 'screen')",0.0
411,"('m20', 'charging')",0.0
410,"('m20', 'charge')",0.0
409,"('m20', 'fast-charging')",0.0
408,"('m20', 'fast-charge')",0.0
432,"('p8', 'fast-charging')",0.0
433,"('p8', 'charge')",0.0
